Name,Total
J. Cuadrado,353.0
Iago Aspas,335.0
B. Leno,230.0
N. Matić,238.0
L. Hrádecký,208.0
Illarramendi,278.0
K. Walker,329.0
I. Gündoğan,298.0
José Callejón,344.0
A. Di María,341.0
M. Mandžukić,293.0
Willian,348.0
Sergio Asenjo,254.0
E. Banega,288.0
A. Witsel,303.0
D. Payet,301.0
Jonas,291.0
Sokratis,278.0
S. Ruffier,224.0
Falcao,296.0
K. Schmeichel,262.0
Raúl Albiol,242.0
A. Gómez,355.0
A. Barzagli,270.0
Quaresma,335.0
A. Robben,331.0
O. Dembélé,357.0
Gabriel Jesus,350.0
Ronaldo Cabrais,344.0
Josué Chiamulera,323.0
Louri Beretta,301.0
P. Kimpembe,306.0
N. Keïta,309.0
C. Tolisso,299.0
T. Lemar,337.0
K. Coman,356.0
J. Tah,271.0
Anderson Talisca,308.0
T. Werner,353.0
A. Rabiot,309.0
L. Goretzka,322.0
Q. Promes,350.0
H. Ziyech,317.0
Lucas Vázquez,327.0
Y. Carrasco,347.0
Gerard Moreno,309.0
Felipe,256.0
M. Kovačić,309.0
Kepa,187.0
Manu Trigueros,291.0
S. Gnabry,349.0
J. Pickford,235.0
S. Savić,259.0
J. Stones,281.0
Suso,324.0
J. Draxler,318.0
Felipe Anderson,345.0
Lucas Moura,354.0
Danilo Pereira,265.0
Nacho Fernández,288.0
T. Horn,226.0
Allan,323.0
F. Acerbi,234.0
Sergi Roberto,306.0
Rodrigo,343.0
Pizzi,313.0
K. Kampl,330.0
Neto,240.0
O. Baumann,224.0
I. Gueye,309.0
H. Mkhitaryan,328.0
Marcos Alonso,293.0
D. Subašić,225.0
K. Glik,214.0
K. Strootman,279.0
B. Dost,220.0
Oscar,314.0
M. Balotelli,297.0
Luiz Gustavo,277.0
Giuliano,330.0
David Luiz,265.0
R. Fährmann,207.0
Juan Mata,300.0
Adán,242.0
Rui Patrício,251.0
Y. Sommer,237.0
Javi Martínez,238.0
L. Bender,281.0
Lucas Leiva,294.0
S. Mandanda,228.0
Cesc Fàbregas,253.0
M. Dembélé,306.0
F. Ribéry,323.0
R. Jarstein,197.0
D. De Rossi,274.0
Pepe Reina,245.0
J. Pavlenka,189.0
M. de Ligt,267.0
Rodri,284.0
Arthur,298.0
G. Donnarumma,238.0
Rosberto Dourado,313.0
Juiano Mestres,281.0
Raphaelito Anjos,199.0
Gelson Martins,366.0
Gonçalo Guedes,344.0
L. Torreira,317.0
Malcom,341.0
Pau López,211.0
L. Hernández,314.0
C. Lenglet,286.0
A. Kramarić,313.0
A. Robertson,326.0
Dani García,227.0
F. Bernardeschi,331.0
J. Brandt,324.0
D. Rugani,260.0
Samu Castillejo,336.0
João Cancelo,342.0
A. Romagnoli,270.0
T. Partey,298.0
Fred,322.0
J. Vardy,343.0
A. Belotti,312.0
E. Forsberg,309.0
J. Lingard,335.0
F. Vázquez,267.0
E. Višća,352.0
A. Rüdiger,286.0
A. Florenzi,337.0
H. Maguire,223.0
T. Meunier,298.0
S. Sané,263.0
G. Kondogbia,305.0
Rafinha,300.0
Gabriel Paulista,294.0
Morata,307.0
J. Cillessen,230.0
W. Ben Yedder,344.0
C. Bakambu,337.0
Pablo Sarabia,308.0
W. Zaha,346.0
Luis Alberto,311.0
Jonathan Viera,332.0
Bartra,301.0
S. Coates,217.0
Willian José,273.0
Mário Fernandes,323.0
Víctor Ruiz,248.0
T. Delaney,308.0
K. Casteels,221.0
M. Götze,308.0
S. Mustafi,268.0
J. Pastore,295.0
Pedro,316.0
G. Bonaventura,311.0
R. Bürki,226.0
Taison,353.0
S. Nzonzi,216.0
Marlos,336.0
A. Ramsey,287.0
K. Trippier,306.0
A. Kolarov,290.0
G. Sigurðsson,259.0
S. Giovinco,342.0
M. Arnautović,310.0
N. Gaitán,332.0
J. Henderson,283.0
M. Kruse,295.0
M. Parolo,286.0
L. Fejsa,242.0
A. Rami,248.0
V. Ćorluka,248.0
G. Wijnaldum,315.0
F. Fazio,192.0
O. Giroud,233.0
Marcano,272.0
A. Guardado,310.0
E. Garay,200.0
Jardel,225.0
S. Sirigu,228.0
E. Viviano,172.0
L. Koscielny,271.0
A. Consigli,214.0
L. Biglia,286.0
Dani Alves,317.0
David Villa,293.0
Aduriz,265.0
P. Čech,196.0
Casillas,255.0
M. Rashford,350.0
Laure Santeiro,333.0
L. Bailey,350.0
M. Akanji,308.0
F. de Jong,317.0
Nélson Semedo,353.0
Pablo Fornals,292.0
Fabián,288.0
E. Bailly,286.0
Dani Ceballos,302.0
H. Lozano,355.0
Morales,329.0
J. Seri,302.0
M. Politano,338.0
M. Brozović,290.0
Williams,344.0
A. Correa,338.0
A. Christensen,277.0
João Mário,296.0
T. Strakosha,192.0
E. Hysaj,316.0
P. Zieliński,321.0
Ricardo Pereira,338.0
Grimaldo,332.0
R. Guerreiro,321.0
A. Doucouré,267.0
J. Martínez,351.0
C. Bacca,301.0
A. Plea,315.0
B. Davies,298.0
M. Nastasić,287.0
A. Milik,286.0
M. Sabitzer,320.0
B. Mendy,311.0
C. Kramer,255.0
S. Vrsaljko,305.0
T. Hazard,335.0
K. Bellarabi,348.0
S. Zaza,312.0
F. Ghoulam,304.0
B. Lecomte,198.0
J. Iličić,287.0
K. Volland,310.0
Paco Alcácer,329.0
Vitolo,309.0
G. Xhaka,222.0
D. Tadić,297.0
C. Aránguiz,297.0
S. Verdi,344.0
D. Lovren,234.0
G. Medel,300.0
X. Shaqiri,325.0
J. Corona,338.0
A. Areola,236.0
K. Vogt,285.0
Ander Herrera,304.0
E. Salvio,339.0
S. El Shaarawy,330.0
C. Smalling,265.0
Hulk,312.0
S. Kagawa,302.0
M. Lanzini,321.0
F. Smolov,322.0
L. Stindl,295.0
O. Toprak,299.0
D. Perotti,325.0
F. Muslera,266.0
B. Höwedes,245.0
S. Kjær,234.0
S. Bender,278.0
M. Valbuena,323.0
Pedro León,270.0
K. Boateng,288.0
L. Piszczek,304.0
A. Candreva,307.0
D. Wass,309.0
E. Lamela,303.0
D. Rose,308.0
C. Vela,317.0
Renato Augusto,280.0
A. Valencia,321.0
L. Fabiański,220.0
João Moutinho,276.0
Borja Valero,262.0
F. Quagliarella,292.0
B. Gomis,276.0
Manuel Fernandes,317.0
H. Herrera,288.0
Raffael,305.0
Nani,320.0
J. Milner,278.0
J. Mathieu,268.0
Joaquín,286.0
M. Gómez,248.0
K. Havertz,319.0
T. Ndombele,322.0
H. Aouar,317.0
Carlos Soler,307.0
Odriozola,317.0
M. Almirón,344.0
Welington Dano,321.0
Everton Andrão,293.0
Oyarzabal,298.0
F. Balbuena,240.0
M. Marega,318.0
B. Pavard,287.0
W. Ndidi,292.0
A. Onana,272.0
G. Lo Celso,305.0
M. Acuña,314.0
Rúben Neves,270.0
Mariano,330.0
Raúl,239.0
M. Caldara,269.0
M. Vecino,292.0
T. Bakayoko,274.0
M. Dahoud,311.0
Rafa,352.0
K. Baldé,342.0
G. Rulli,236.0
F. Armani,199.0
Rony Lopes,321.0
Santi Mina,316.0
K. Demirbay,292.0
Gayà,334.0
André Gomes,274.0
N. Tagliafico,325.0
M. Sanson,310.0
Pacheco,229.0
E. Can,293.0
H. Çalhanoğlu,298.0
M. Ginter,258.0
M. Keane,257.0
L. Paredes,295.0
T. Stepanenko,273.0
L. Shaw,319.0
Z. Feddal,231.0
S. Haller,294.0
Bernard,354.0
T. Inui,335.0
Portu,311.0
M. Batshuayi,307.0
E. Zahavi,311.0
T. Vaclík,177.0
N. Pope,204.0
Héctor Bellerín,345.0
P. Kadeřábek,304.0
J. Butland,241.0
J. Vestergaard,180.0
J. Tarkowski,251.0
Deulofeu,345.0
E. Dier,260.0
J. Murillo,301.0
M. Badelj,257.0
Ismaily,317.0
N. Schulz,328.0
L. Digne,296.0
M. Uth,312.0
Cristian Tello,335.0
D. Vida,289.0
L. Muriel,339.0
V. Aboubakar,308.0
A. Oxlade-Chamberlain,328.0
S. Aurier,311.0
J. Matip,259.0
Y. Rakitskyi,285.0
Sergi Enrich,277.0
A. Yarmolenko,300.0
Hugo Mallo,299.0
André Almeida,279.0
D. Didavi,293.0
R. Rodríguez,299.0
R. Pereyra,300.0
Mario Gaspar,303.0
Maicon,211.0
D. Blind,271.0
J. Zoet,233.0
A. Ljajić,313.0
Canales,277.0
Iago Falqué,318.0
L. de Jong,249.0
Guaita,238.0
Muniain,327.0
Susaeta,306.0
S. Rudy,294.0
K. Trapp,219.0
V. Wanyama,264.0
N. Nkoulou,286.0
R. Boudebouz,300.0
Camacho,267.0
S. Ulreich,194.0
M. Musacchio,289.0
C. Stuani,285.0
P. Gulácsi,199.0
Bruno,191.0
F. Delph,315.0
A. Lallana,291.0
Marcelo,228.0
S. Coleman,305.0
Alexandre Pato,330.0
Antunes,309.0
Nacho Monreal,291.0
Beñat,253.0
A. Fernández,295.0
K. Gameiro,332.0
I. Piatti,322.0
V. Birsa,288.0
S. Romero,221.0
D. Criscito,301.0
D. Valeri,274.0
D. Sturridge,302.0
Raúl García,256.0
S. Defour,280.0
M. Škrtel,232.0
S. Radu,286.0
G. Cahill,220.0
L. Diarra,294.0
L. Perrin,264.0
Dante,207.0
A. Granqvist,226.0
A. Gignac,281.0
M. Gómez,271.0
I. Akinfeev,225.0
I. Denisov,285.0
Juanfran,316.0
Diego López,212.0
Santi Cazorla,258.0
Jesús Navas,342.0
J. Mascherano,282.0
A. Mirante,214.0
D. Srna,294.0
B. Schweinsteiger,215.0
Moyá,208.0
W. Rooney,278.0
Fernando Torres,292.0
S. Sorrentino,193.0
V. Tsygankov,320.0
Rúben Dias,249.0
David Neres,334.0
Raphinha,339.0
A. Harit,330.0
Richarlison,324.0
L. Martínez,319.0
F. Kessié,292.0
Luimo Boas Santos,333.0
Gabri Prestão,262.0
Melvin Parrela,282.0
Antônio Chiamuloira,267.0
Maikel Catarino,322.0
A. Lunev,224.0
André Silva,314.0
C. Pulisic,347.0
M. Dmitrović,179.0
L. Tousart,278.0
Marcos Llorente,252.0
B. Verbič,323.0
S. Bergwijn,324.0
A. Diallo,305.0
A. Golovin,324.0
M. Campaña,199.0
C. Pavón,352.0
K. Toko-Ekambi,322.0
Granell,268.0
F. Cervi,356.0
J. Weigl,288.0
V. Lindelöf,286.0
A. Rebić,321.0
A. Sanabria,308.0
R. Battaglia,274.0
M. Philipp,325.0
A. Saint-Maximin,355.0
D. Zappacosta,301.0
L. Alario,287.0
D. Benedetto,313.0
I. Marcone,227.0
J. Gbamin,305.0
J. Lerma,297.0
Ricardo Horta,319.0
R. Zobnin,301.0
M. Meyer,304.0
Bruma,351.0
R. Centurión,344.0
Jonny,298.0
Otávio,316.0
J. Hofmann,311.0
N. Aké,296.0
J. Hector,299.0
S. Kolašinac,269.0
G. Pizarro,249.0
Roger,310.0
Sergio Rico,232.0
L. Milivojević,247.0
D. Baselli,298.0
K. Rekik,276.0
Denis Suárez,318.0
W. Orban,226.0
Mário Rui,337.0
Iñigo Martínez,287.0
K. Zouma,249.0
Roque Mesa,301.0
J. Brooks,272.0
L. Karius,235.0
Zé Luís,305.0
D. Klaassen,280.0
M. Elyounoussi,321.0
L. Bittencourt,337.0
Sergi Darder,254.0
J. Roussillon,322.0
D. Demme,285.0
J. Gouweleeuw,280.0
M. Rojo,279.0
J. Veretout,293.0
L. Kurzawa,308.0
G. Ramírez,293.0
David López,239.0
C. Tătăruşanu,230.0
A. Mandi,284.0
D. Sidibé,302.0
Y. Konoplyanka,328.0
S. Berghuis,313.0
H. Vanaken,236.0
Campaña,267.0
M. van Ginkel,279.0
Nolito,310.0
M. Gregoritsch,278.0
Ibai Gómez,310.0
Danilo,298.0
R. Barkley,279.0
M. Ryan,231.0
Sergio León,309.0
B. Stambouli,273.0
J. Guilavogui,269.0
Sérgio Oliveira,258.0
D. Caligiuri,310.0
C. Wilson,324.0
P. Jones,242.0
Borja García,305.0
Y. Belhanda,311.0
G. Pezzella,215.0
Jaume Costa,305.0
C. Tosun,300.0
Escudero,301.0
Kike García,276.0
Elkeson,314.0
Ricardo Goulart,305.0
J. Guðmundsson,309.0
N. Clyne,309.0
M. Hitz,200.0
De Marcos,324.0
B. Mee,263.0
Rafael,321.0
Iborra,200.0
J. Wilshere,283.0
B. Hübner,232.0
Souza,283.0
F. Coquelin,289.0
Alex Teixeira,355.0
A. Dzagoev,301.0
I. Smolnikov,329.0
Y. M'Vila,292.0
K. Asamoah,317.0
R. Zieler,219.0
D. Drinkwater,270.0
N. Kalinić,287.0
Mariano,317.0
S. Feghouli,336.0
Adrien Silva,267.0
Fernando,271.0
I. Traoré,341.0
G. Mercado,288.0
N. Petersen,267.0
O. Karnezis,198.0
M. Sakho,224.0
Sidnei,239.0
S. Jovetić,296.0
Eder,328.0
J. Hernández,303.0
Fabricio,244.0
Kiko Casilla,198.0
Ángel,307.0
M. Schneiderlin,261.0
M. Fellaini,217.0
P. Wernbloom,246.0
D. Ospina,184.0
S. Mignolet,210.0
A. Begović,236.0
N. Şahin,230.0
R. Bertrand,303.0
A. Masiello,252.0
T. Walcott,334.0
Charles,289.0
T. Heaton,238.0
H. Ben Arfa,298.0
D. Abraham,292.0
E. Lavezzi,336.0
S. Kalou,290.0
J. Farfán,320.0
R. Babel,313.0
A. Young,306.0
J. Hart,238.0
L. López,318.0
D. Baier,248.0
B. Yılmaz,313.0
R. Adler,203.0
S. Lichtsteiner,286.0
E. Adebayor,278.0
E. Belözoğlu,233.0
Loren,267.0
Éder Militão,306.0
F. Chiesa,332.0
M. Lazzari,313.0
A. Hakimi,332.0
S. Nakajima,355.0
L. Jović,304.0
S. Ascacíbar,292.0
A. Lafont,217.0
T. Alexander-Arnold,310.0
F. Krovinović,287.0
Sidney Pessinho,276.0
Everticinho,319.0
Claudio Coíntra,329.0
Ronaldo Esler,340.0
P. Lees-Melou,298.0
B. Chilwell,308.0
João Novais,301.0
D. Calabria,315.0
F. Mendy,330.0
L. Pellegrini,292.0
Soares,314.0
Daniel Podence,355.0
M. Díaz,183.0
G. Martínez,349.0
M. Eggestein,285.0
Trezeguet,314.0
N. Amiri,299.0
Vallejo,287.0
J. Gomez,304.0
Diogo Jota,330.0
Joan Jordán,270.0
Dyego Sousa,240.0
A. Marušić,317.0
David Soria,203.0
V. Rongier,278.0
W. Weghorst,265.0
O. Al Soma,290.0
M. Nakamba,307.0
Petros,293.0
Pablo Maffeo,319.0
Y. Mina,232.0
M. Dúbravka,210.0
Diego Carlos,276.0
D. Djené,306.0
G. Simeone,309.0
M. Meza,322.0
Bastos,284.0
S. Lobotka,285.0
Y. Tielemans,247.0
Marcelo Goiano,306.0
K. Tete,293.0
Capa,316.0
M. Sportiello,215.0
Jemerson,280.0
N. Maksimović,250.0
D. Zapata,281.0
J. Correa,307.0
E. Rigoni,332.0
C. Izquierdoz,214.0
W. Barrios,299.0
J. Mojica,323.0
A. Selikhov,181.0
A. Iwobi,308.0
D. Laxalt,333.0
N. Bentaleb,281.0
N. Stark,289.0
M. Lemina,297.0
L. Dendoncker,259.0
Ricardo Esgaio,307.0
P. Sisto,317.0
P. Max,319.0
R. Gagliardini,272.0
Pere Pons,281.0
D. Berardi,318.0
M. Halstenberg,276.0
J. Quintero,306.0
Tiago Volpi,255.0
Óliver Torres,293.0
Omar Mascarell,278.0
H. Sakai,303.0
Andreas Pereira,304.0
A. Januzaj,314.0
B. Cristante,259.0
Matheus,210.0
B. Traoré,338.0
Y. Poulsen,312.0
L. Trossard,331.0
M. Arnold,279.0
M. De Sciglio,305.0
Leo Baptistao,312.0
V. Chiricheş,264.0
L. Pavoletti,270.0
A. Cragno,177.0
L. Castro,307.0
N. Füllkrug,273.0
F. Fajr,276.0
R. Jiménez,294.0
E. Sala,256.0
S. García,272.0
S. Arias,324.0
B. Reynet,204.0
Pozuelo,271.0
A. Trebel,309.0
J. Lascelles,265.0
T. Kongolo,287.0
A. Carrillo,326.0
Álvaro,289.0
G. Defrel,332.0
Fernando,293.0
V. Darida,291.0
R. Saponara,284.0
Pedro Mendes,255.0
C. Schindler,258.0
N. Chadli,292.0
Arbilla,260.0
L. Dunk,214.0
P. Hernández,286.0
J. Guidetti,272.0
Sergi Gómez,218.0
Oriol Romeu,227.0
Lucas Pérez,304.0
B. Natcho,277.0
Cláudio Ramos,245.0
F. Lejeune,221.0
G. Krychowiak,262.0
N. Lodeiro,296.0
O. Özyakup,304.0
C. Tévez,293.0
K. Papadopoulos,241.0
M. Gradel,327.0
M. Debuchy,299.0
V. Moses,308.0
Z. Junuzović,307.0
Granero,250.0
J. Baumgartlinger,278.0
Fábio Coentrão,307.0
B. Costil,215.0
Hilton,192.0
N. Gudelj,260.0
L. Pratto,281.0
E. Hernández,301.0
Jurado,297.0
R. Cabella,323.0
Rafael Tolói,275.0
C. Bravo,248.0
Hernanes,265.0
K. Honda,299.0
A. Dzyuba,256.0
J. Holebas,295.0
Javi García,259.0
Sergio,212.0
M. Cáceres,306.0
Daniel Carriço,232.0
J. Cork,252.0
J. Tomkins,213.0
Guilherme,205.0
Gervinho,345.0
J. Shelvey,260.0
R. Eremenko,275.0
R. Vormer,269.0
J. Lens,332.0
Adriano,306.0
S. Cook,240.0
L. Podolski,294.0
C. Ansaldi,309.0
Manu García,250.0
R. Alessandrini,347.0
J. Ward-Prowse,272.0
M. Harnik,296.0
B. Moukandjo,343.0
G. Pereiro,295.0
G. Castro,292.0
Aarón Martín,290.0
F. Johnson,305.0
L. López,267.0
M. Dossevi,308.0
Caiuby,313.0
Gabriel,259.0
Iván Ramis,190.0
M. Suchý,267.0
T. Vilhena,299.0
E. Çolak,295.0
V. Germain,321.0
G. Hoarau,242.0
Sergio García,281.0
E. Choupo-Moting,304.0
J. Pinola,278.0
J. Hendrix,288.0
J. Izquierdo,344.0
S. Sydorchuk,267.0
C. Grenier,246.0
T. Strobl,231.0
V. Odjidja-Ofoe,241.0
N. Guzmán,248.0
F. Fabra,330.0
J. Maddison,304.0
K. El Ahmadi,281.0
M. Carcela-González,334.0
M. Gabbiadini,281.0
Gomes,229.0
M. Ritchie,294.0
G. Bou,304.0
Javi Fuego,236.0
E. Akbaba,295.0
J. Amavi,309.0
R. Malinovskyi,287.0
D. Welbeck,313.0
G. Conti,257.0
Bruno,177.0
Garry Rodrigues,347.0
A. Schwolow,188.0
L. Cook,291.0
P. Pérez,290.0
Gazzolisco,302.0
Jonatan Soriano,277.0
Rubén Peña,327.0
Mikel San José,192.0
P. Groß,270.0
L. Baines,273.0
A. Ogbonna,250.0
Juan Jesus,294.0
J. Martínez,284.0
N. Elvedi,290.0
G. Moreno,296.0
J. Valdivia,285.0
A. Carroll,227.0
Luís Neto,263.0
A. Pyatov,218.0
T. Gutiérrez,269.0
Álex Remiro,224.0
Wilson Eduardo,309.0
Jorge Meré,280.0
M. Elneny,258.0
D. Torres,258.0
Y. Bounou,183.0
A. Prijović,274.0
A. Jahanbakhsh,312.0
J. Calleri,292.0
Simão Acunha,319.0
N. Müller,321.0
L. Ocampos,316.0
J. Rodriguez,303.0
V. Ibišević,228.0
S. Rondón,276.0
Victor Sánchez,268.0
D. Suárez,308.0
K. Huntelaar,244.0
L. Dubois,278.0
André Pinto,199.0
K. Lala,302.0
O. Kıvrak,257.0
A. Bertolacci,293.0
E. Giaccherini,308.0
A. Živković,325.0
R. Ábila,275.0
P. Diop,243.0
D. Garmash,267.0
T. Chandler,281.0
R. Klavan,229.0
A. Miranchuk,297.0
D. Da Silva,249.0
D. Benaglio,205.0
T. Rincón,296.0
M. Pereira,283.0
C. Borges,255.0
J. Sand,237.0
Markel Bergara,231.0
Vágner Love,296.0
B. Bourigeaud,291.0
R. Soriano,302.0
D. Kuzyaev,312.0
R. Sambueza,284.0
Montoya,309.0
A. Poli,299.0
C. Austin,260.0
L. Tonelli,285.0
M. Zárate,319.0
J. Sancho,340.0
D. Basta,294.0
Marçal,307.0
Munir,307.0
G. Sio,313.0
J. McCarthy,253.0
J. Aquino,335.0
H. Pérez,307.0
Jô,279.0
R. Gurtner,196.0
C. Sánchez,265.0
M. Sissoko,301.0
W. Anton,264.0
E. Skhiri,273.0
Rúben Vezo,273.0
Jorge Molina,187.0
M. Hasebe,256.0
A. Schürrle,309.0
O. Ighalo,318.0
L. Acosta,353.0
V. Babacan,235.0
R. Aguilar,320.0
Yeray,268.0
J. Defoe,291.0
L. Schøne,245.0
C. Ünder,318.0
M. Dabbur,299.0
Roberto,237.0
Djaniny,314.0
Wallace,255.0
Pedro Obiang,267.0
D. Heintz,252.0
N. Mukiele,300.0
T. Vermaelen,262.0
I. Abate,313.0
Diego Llorente,269.0
C. Wood,283.0
Formosandrinho,314.0
E. Pulgar,274.0
V. Vasin,241.0
V. Grifo,290.0
A. Turan,298.0
J. dos Santos,292.0
D. Schwaab,274.0
M. Schmelzer,294.0
L. Spinazzola,308.0
A. Dragović,276.0
D. Pröpper,273.0
R. Inglese,246.0
A. Marchesín,244.0
R. De Paul,302.0
C. Gentner,202.0
G. Murray,204.0
Rafael Carioca,300.0
A. McCarthy,218.0
L. Chichizola,238.0
D. Zakaria,300.0
G. Dzhikiya,291.0
N. Castillo,274.0
D. Origi,303.0
O. Yokuşlu,280.0
D. Cheryshev,311.0
D. Selke,290.0
Wendell,319.0
M. Layún,298.0
Y. Sabaly,306.0
P. Cutrone,295.0
F. Marchetti,244.0
W. Cyprien,303.0
G. Paletta,195.0
F. Caicedo,279.0
Jordi Masip,264.0
B. Espinosa,209.0
M. Benassi,281.0
P. Jagielka,208.0
J. Kucka,282.0
R. Brady,305.0
A. Szymanowski,327.0
W. Reid,251.0
Cédric,307.0
R. Civelli,186.0
R. Loftus-Cheek,279.0
S. De Maio,252.0
S. Brown,287.0
A. Mitrović,268.0
P. Skjelbred,275.0
D. Cvitanich,276.0
K. Lasagna,334.0
R. Palacio,311.0
M. Wolf,308.0
E. Gigliotti,264.0
N. Jørgensen,288.0
Laguardia,234.0
J. Lukaku,338.0
J. Augustin,323.0
M. Diakhaby,232.0
Douglas,197.0
N. Pejčinović,235.0
D. van de Beek,277.0
Borja Iglesias,262.0
G. Shibasaki,290.0
W. Hughes,274.0
S. Boufal,320.0
T. Kehrer,295.0
M. Lang,278.0
E. Gutiérrez,291.0
D. Upamecano,286.0
Jefferson,298.0
W. Benítez,206.0
E. Bardhi,295.0
K. Mbodji,252.0
B. Sarr,320.0
F. Ferreyra,297.0
Danilo,221.0
A. Ayew,313.0
K. Mitroglou,236.0
J. Villar,186.0
P. Herrmann,322.0
D. da Costa,304.0
V. Fischer,315.0
Wesley,268.0
D. Ginczek,276.0
F. Kostić,326.0
R. Fraser,343.0
Cote,293.0
H. Winks,294.0
K. Mbabu,329.0
M. Hinteregger,266.0
L. Acosta,330.0
Sidcley,319.0
M. Jørgensen,260.0
M. Fabián,296.0
Carlos Eduardo,288.0
Rubén Castro,318.0
L. Augustinsson,305.0
S. Aziz,283.0
G. Ochoa,233.0
P. Hetemaj,305.0
André André,284.0
Vinícius Júnior,346.0
B. Džemaili,271.0
Juanpe,208.0
K. Fortounis,302.0
M. Vorm,250.0
B. Oczipka,283.0
R. Bentancur,280.0
T. Hernández,322.0
M. Lowton,291.0
I. Diop,246.0
B. André,290.0
C. Piccini,290.0
Paulinho,270.0
A. Diawara,292.0
Yuri Berchiche,300.0
José Sá,216.0
F. Kamano,330.0
F. Cartabia,306.0
E. Ünal,291.0
I. Radovanović,248.0
Renan Ribeiro,233.0
Jony,331.0
D. Buonanotte,340.0
Tomás Pina,255.0
N. Pallois,235.0
D. Latza,281.0
F. Belluschi,295.0
O. Abdulrahman,314.0
O. Trejo,301.0
N. Barella,306.0
Angeliño,319.0
Vieirundinho,244.0
F. Orellana,306.0
F. Grillitsch,256.0
C. Ortíz,283.0
Bruno Viana,255.0
J. Maidana,231.0
R. Funes Mori,263.0
D. Kohr,276.0
F. Higuaín,276.0
A. Barák,269.0
F. Andone,308.0
Adrián,281.0
G. González,267.0
Otávio,280.0
D. Janmaat,284.0
R. Funes Mori,310.0
P. Schick,304.0
Aleix Vidal,339.0
A. Schöpf,309.0
W. Boly,252.0
Alberto Moreno,328.0
C. Villanueva,289.0
M. Weiser,325.0
G. Escalante,281.0
M. Holgate,274.0
J. Hopf,198.0
D. Zurutuza,274.0
Juanmi,313.0
K. Gibbs,311.0
F. Fernández,216.0
L. Kalinić,166.0
N. Radoja,221.0
N. Blandi,279.0
David Juncà,300.0
Wu Lei,331.0
Gabriel Boschilia,293.0
Iuri Medeiros,305.0
M. Phillips,316.0
Iván Cuéllar,232.0
J. Lössl,167.0
Mario Suárez,230.0
W. Bony,216.0
S. Doumbia,317.0
D. Reyes,269.0
Bernat,320.0
V. Behrami,276.0
S. Langkamp,231.0
J. Sosa,288.0
A. Touré,207.0
Jesé,316.0
D. Ings,303.0
M. Esser,180.0
F. Acheampong,355.0
R. Knoche,222.0
O. Vlachodimos,223.0
J. Denayer,279.0
S. Rode,277.0
Wendel,309.0
